30 works -> /mnt/projects/research/discovery-genesis/raw/cases
[15/30]  W2134599653  citers=390
[16/30]  W2015267536  citers=3
[17/30]  W2783667606  citers=990
[18/30]  W2891229446  citers=16
[19/30]  W2096325810  citers=313
[20/30]  W2423190257  citers=17
[21/30]  W2127780961  citers=290
[22/30]  W2044126692  citers=8
[23/30]  W2620991346  citers=349
[24/30]  W2772954730  citers=12
[25/30]  W2837320447  citers=294
[26/30]  W2931736102  citers=8
[27/30]  W2136608905  citers=853
[28/30]  W2035612475  citers=9
[29/30]  W2896933604  citers=130
[30/30]  W2899493151  citers=3
10 works -> /mnt/projects/research/discovery-genesis/raw/cases
[1/10]  W2921203145  citers=103
[2/10]  W2916666759  citers=9
[3/10]  W2763032770  citers=180
[4/10]  W2756183321  citers=6
[5/10]  W2074719502  citers=53
[6/10]  W1976552375  citers=6
[7/10]  W2945354756  citers=209
[8/10]  W2969293515  citers=9
[9/10]  W2896618349  citers=139
[10/10]  W2903628075  citers=12
exit 0
