pair,role,topic,domain,id,year,title,n_refs,n_authors,n_institutions,pct,cited_by_count,fwci,ref_age_median,ref_age_mean,ref_share_le3,ref_cross_topic,ref_cross_subfield,ref_cross_field,ref_cross_domain,ref_n_fields,ref_hot_median,ref_fwci_median,n_citers,citers_capped,cd_nok,cd5_nok,s2_influential,s2_method_cites,s2_ref_method_share,has_text,text_chars,pool_ref_age_median,pool_ref_share_le3,pool_ref_hot_median,ref_age_vs_pool,ref_share_le3_vs_pool,ref_hot_vs_pool,atyp_n_pairs,atyp_unscorable,atyp_median_z,atyp_p10_z,atyp_share_novel
0,case,Health and Lifestyle Studies,Health Sciences,W1979639801,2016,Recomendaciones sobre el estilo de vida,53,9,0,0.98863516,126,14.9567,15.0,14.75,0.038,0.962,0.846,0.769,0.154,7,265.5,7.46,,False,,,0,0,0.0,False,,,,,,,,,,,,
0,twin,Health and Lifestyle Studies,Health Sciences,W2339696061,2016,Probabilidad de evento coronario en los próximos 10 años en pacientes diabéticos según la escala de Framingham - REGICOR,6,2,2,0.76900763,2,0.6504,8,8.8,0.2,0.75,0.75,0.75,0.0,2,147,60.34,,False,,,0,0,0.0,True,17637,,,,,,,,,,,
1,case,Vibrio bacteria research studies,Life Sciences,W2917815849,2019,Bacterial cGAS-like enzymes synthesize diverse nucleotide signals,51,11,6,0.99935202,392,32.8676,5,7.12,0.255,0.902,0.863,0.51,0.176,5,269,11.3,,False,,,22,7,0.0,False,,,,,,,,,,,,
1,twin,Vibrio bacteria research studies,Life Sciences,W2913469753,2019,Bivalent oral cholera vaccination induces a memory B cell response to the V. cholerae O1-polysaccharide antigen in Haitian adults,27,13,9,0.78891949,17,1.5327,7,8.96,0.222,0.259,0.148,0.111,0.074,3,71,4.39,,False,,,0,1,0.0,False,,,,,,,,,,,,
2,case,Anodic Oxide Films and Nanostructures,Physical Sciences,W2064056867,2011,The role of electric field in pore formation during aluminum anodization,36,2,1,0.95934072,223,4.6372,14,19.23,0.229,0.2,0.171,0.114,0.0,2,279,3.7,,False,,,9,1,,False,,,,,,,,,,,,
2,twin,Anodic Oxide Films and Nanostructures,Physical Sciences,W4382023531,2011,"Preparation of 6-Diallylamino-1,3,5-Triazine-2,4-Dithiol Functional Nanofilm by Electrochemical Polymerization Technique on Aluminum Surface",27,3,1,0.75503918,14,1.0144,8.0,9.88,0.192,0.962,0.731,0.385,0.038,5,18.5,0.87,,False,,,0,0,0.053,False,,,,,,,,,,,,
3,case,Viral Infectious Diseases and Gene Expression in Insects,Life Sciences,W2070451836,2015,Critical aspects of using bacterial cell viability assays with the fluorophores SYTO9 and propidium iodide,30,4,1,0.9943796,717,15.5483,14.0,15.73,0.133,1.0,0.733,0.467,0.3,7,192.0,4.46,,False,,,26,47,0.2,False,,,,,,,,,,,,
3,twin,Viral Infectious Diseases and Gene Expression in Insects,Life Sciences,W2190457155,2015,Endoplasmic Reticulum-Associated rht-PA Processing in CHO Cells: Influence of Mild Hypothermia and Specific Growth Rates in Batch and Chemostat Cultures,40,8,4,0.75073927,12,0.9632,10.0,12.65,0.125,0.575,0.425,0.2,0.15,3,54.5,1.99,,False,,,0,1,0.024,False,,,,,,,,,,,,
4,case,Transition Metal Oxide Nanomaterials,Physical Sciences,W2292628419,2016,"Intelligent Multifunctional VO2/SiO2/TiO2 Coatings for Self-Cleaning, Energy-Saving Window Panels",51,8,1,0.99876732,252,27.3173,10,13.25,0.118,0.431,0.431,0.314,0.0,7,169,5.66,,False,,,0,3,,False,,,,,,,,,,,,
4,twin,Transition Metal Oxide Nanomaterials,Physical Sciences,W2288936626,2016,A first-principles study on new high-pressure metastable polymorphs of MoO2,47,2,2,0.81616084,20,1.6941,16,22.51,0.021,0.809,0.809,0.66,0.0,8,167,4.3,,False,,,0,1,,False,,,,,,,,,,,,
5,case,Lepidoptera: Biology and Taxonomy,Life Sciences,W2954733066,2019,A mirage of cryptic species: Genomics uncover striking mitonuclear discordance in the butterfly Thymelicus sylvestris,60,7,5,0.98453378,118,9.3382,7.0,8.87,0.133,0.833,0.633,0.4,0.15,7,627.5,18.44,,False,,,3,2,,False,,,,,,,,,,,,
5,twin,Lepidoptera: Biology and Taxonomy,Life Sciences,W2963245931,2019,The mitochondrial genome of Erannis ankeraria (Lepidoptera: Geometridae),8,4,4,0.60065668,3,0.1638,7.5,6.75,0.125,0.125,0.125,0.0,0.0,1,93.5,5.73,,False,,,0,0,0.0,False,,,,,,,,,,,,
6,case,Astro and Planetary Science,Physical Sciences,W2109003093,2013,"Chelyabinsk Airburst, Damage Assessment, Meteorite Recovery, and Characterization",143,59,34,0.99790939,653,24.8481,9,13.53,0.248,0.409,0.365,0.358,0.058,12,100,3.46,,False,,,37,23,,False,,,,,,,,,,,,
6,twin,Astro and Planetary Science,Physical Sciences,W1981899327,2013,"Experimental investigation of reduced volatile formation by high-temperature interactions among meteorite constituent materials, water, and nitrogen",46,4,1,0.74696408,20,0.7308,12.0,21.21,0.119,0.595,0.357,0.31,0.024,7,146.0,3.53,,False,,,1,0,,False,,,,,,,,,,,,
7,case,Hearing Loss and Rehabilitation,Life Sciences,W2923326318,2019,Further Evidence of the Relationship Between Cochlear Implant Electrode Positioning and Hearing Outcomes,53,7,2,0.98104706,161,7.3597,11,14.33,0.143,0.122,0.122,0.082,0.082,4,146,2.66,,False,,,2,4,0.0,False,,10,0.161,107.0,1,-0.018,1.364,15,0,0.066,-1.597,0.333
7,twin,Hearing Loss and Rehabilitation,Life Sciences,W2787401765,2019,"The test-retest reliability of questionnaires regarding attitudes and beliefs toward noise, hearing loss, and hearing protector devices in young adults.",28,4,1,0.69298203,15,0.8533,9,9.37,0.111,0.964,0.964,0.536,0.536,4,74.0,4.69,,False,,,1,2,0.226,False,,10,0.161,107.0,-1,-0.05,0.692,15,0,-0.163,-0.712,0.6
8,case,Metal Alloys Wear and Properties,Physical Sciences,W2018722914,2015,Effects of Rare Earth on the Microstructure and Impact Toughness of H13 Steel,32,4,2,0.89789154,136,2.5296,8,12.45,0.097,0.806,0.774,0.742,0.0,3,72,1.61,,False,,,3,1,0.031,False,,,,,,,,,,,,
8,twin,Metal Alloys Wear and Properties,Physical Sciences,W1570262056,2015,Load-carrying capacity of WC/C-coated gears lubricated with a low-viscosity oil,25,1,1,0.42590001,7,0.1265,8,7.96,0.174,1.0,0.435,0.435,0.0,3,56,1.88,,False,,,0,1,,False,,,,,,,,,,,,
9,case,Sports injuries and prevention,Health Sciences,W2126595565,2011,Hamstring muscle injuries in professional football: the correlation of MRI findings with return to play,43,6,5,0.99399019,495,13.4548,6,7.35,0.209,0.116,0.07,0.0,0.0,1,274,4.65,,False,,,28,24,,False,,,,,,,,,,,,
9,twin,Sports injuries and prevention,Health Sciences,W2016739320,2011,Revisión bibliográfica de la efectividad del kinesiotaping,38,2,1,0.85568559,24,2.1244,2,3.4,0.6,0.857,0.714,0.229,0.143,4,102,2.21,,False,,,0,0,,False,,,,,,,,,,,,
10,case,RNA Interference and Gene Delivery,Life Sciences,W2803566305,2018,GalNAc-siRNA Conjugates: Leading the Way for Delivery of RNAi Therapeutics,103,2,1,0.99467168,687,14.4743,17,19.92,0.272,0.68,0.379,0.311,0.262,8,182,6.38,,False,,,21,9,,False,,,,,,,,,,,,
10,twin,RNA Interference and Gene Delivery,Life Sciences,W2903661111,2018,Cloning and expression of L-asparaginase from Bacillus tequilensis PV9W and therapeutic efficacy of Solid Lipid Particle formulations against cancer,30,6,2,0.67784915,29,0.6617,5,8.48,0.345,0.931,0.828,0.586,0.448,9,83,3.31,,False,,,1,1,0.0,False,,,,,,,,,,,,
11,case,"Rings, Modules, and Algebras",Physical Sciences,W1045711957,2015,Nil-clean and strongly nil-clean rings,34,3,3,0.99884793,97,24.0076,12.5,22.57,0.3,0.1,0.067,0.067,0.033,3,72.0,2.88,,False,,,12,2,,False,,,,,,,,,,,,
