pair,role,topic,domain,id,year,title,n_refs,n_authors,n_institutions,pct,cited_by_count,fwci,ref_age_median,ref_age_mean,ref_share_le3,ref_cross_topic,ref_cross_subfield,ref_cross_field,ref_cross_domain,ref_n_fields,ref_hot_median,ref_fwci_median,n_citers,citers_capped,cd_nok,cd5_nok,s2_influential,s2_method_cites,s2_ref_method_share,has_text,text_chars
0,case,Herpesvirus Infections and Treatments,Health Sciences,W2092406095,2010,"Causes of encephalitis and differences in their clinical presentations in England: a multicentre, population-based prospective study",35,16,10,0.99863986,1369,31.382,6.0,8.68,0.294,0.735,0.588,0.059,0.059,3,202.5,5.09,1356,False,-0.319,-0.658,64,5,0.0,False,
0,twin,Herpesvirus Infections and Treatments,Health Sciences,W1511964252,2010,ORIGINAL ARTICLE: Estradiol Limits Viral Replication Following Intravaginal Immunization Leading to Diminished Mucosal IgG Response and Non‐sterile Protection Against Genital Herpes Challenge,27,4,1,0.8277946,14,1.6326,7,7.74,0.222,0.333,0.333,0.259,0.259,3,93,3.36,14,False,-0.571,-0.455,1,0,,False,
1,case,Fluorine in Organic Chemistry,Life Sciences,W2316766720,2015,Carbon Trifluoromethylation Reactions of Hydrocarbon Derivatives and Heteroarenes,488,4,1,0.99987978,1067,57.1197,4.0,9.44,0.401,0.212,0.212,0.21,0.175,15,123.0,6.03,1067,False,-0.914,-0.928,1,2,,False,
1,twin,Fluorine in Organic Chemistry,Life Sciences,W4230051646,2015,Assembly of Fluorinated Quaternary Stereogenic Centers through Catalytic Enantioselective Detrifluoroacetylative Aldol Reactions,83,5,3,0.85357057,25,2.0042,9,8.86,0.325,0.253,0.253,0.241,0.217,4,135,6.51,25,False,-1.0,-1.0,,,,False,
2,case,Pharmaceutical and Antibiotic Environmental Impacts,Physical Sciences,W2009989575,2013,Pharmaceuticals as emerging contaminants and their removal from water. A review,209,5,2,0.99940543,1475,39.2388,8,9.04,0.2,0.434,0.434,0.18,0.049,11,234,6.6,1473,False,-0.164,-0.474,27,8,,False,
2,twin,Pharmaceutical and Antibiotic Environmental Impacts,Physical Sciences,W2109039561,2013,Kinetics and degradation mechanism of clofibric acid and diclofenac in UV photolysis and UV/H2O2 reaction,35,5,2,0.74166122,33,0.9617,10,10.94,0.152,0.333,0.333,0.152,0.03,5,173,6.47,33,False,-0.212,-0.333,2,1,0.061,False,
3,case,Enzyme-mediated dye degradation,Life Sciences,W2040841239,2010,Bacterial decolorization and degradation of azo dyes: A review,220,4,3,0.99932545,1541,52.7886,5,6.62,0.329,0.286,0.277,0.277,0.202,10,131,4.77,1525,False,-0.403,-0.561,58,10,,False,
3,twin,Enzyme-mediated dye degradation,Life Sciences,W2000587171,2010,Characteristics of developed granules containing selected decolourising bacteria for the degradation of textile wastewater,16,5,1,0.7854281,31,0.7821,9.5,10.12,0.188,0.75,0.75,0.688,0.625,4,339.5,6.48,31,False,0.032,0.0,0,0,,False,
4,case,Ethnobotanical and Medicinal Plants Studies,Life Sciences,W2986932602,2019,"A quantitative medico-botanical expedition of Fairy Meadows National Park, Diamir, Gilgit Baltistan, Pakistan",52,6,3,0.99832147,326,35.8127,8.0,9.26,0.043,0.239,0.217,0.152,0.152,5,148.0,5.94,326,False,-0.19,-0.17,,,,True,67118
4,twin,Ethnobotanical and Medicinal Plants Studies,Life Sciences,W2967132151,2019,Chemical Constituents of Root Barks of Gnidia involucrata and Evaluation for Antibacterial and Antioxidant Activities,26,6,2,0.82214467,12,0.8429,15,14.12,0.16,0.92,0.84,0.76,0.28,6,89,1.58,12,False,0.5,0.5,0,0,0.206,False,
