pair,role,topic,domain,id,year,title,n_refs,n_authors,n_institutions,pct,cited_by_count,fwci,ref_age_median,ref_age_mean,ref_share_le3,ref_cross_topic,ref_cross_subfield,ref_cross_field,ref_cross_domain,ref_n_fields,ref_hot_median,ref_fwci_median,n_citers,citers_capped,cd_nok,cd5_nok,s2_influential,s2_method_cites,s2_ref_method_share,has_text,text_chars,pool_ref_age_median,pool_ref_share_le3,pool_ref_hot_median,ref_age_vs_pool,ref_share_le3_vs_pool,ref_hot_vs_pool,atyp_n_pairs,atyp_unscorable,atyp_median_z,atyp_p10_z,atyp_share_novel
0,case,Vibrio bacteria research studies,Life Sciences,W2597760097,2017,A Pseudomonas T6SS effector recruits PQS-containing outer membrane vesicles for iron acquisition,69,10,5,0.99781071,318,19.0909,5,7.91,0.362,0.783,0.754,0.377,0.246,7,220,6.89,318,False,-0.704,-0.812,7,4,0.0,False,,,,,,,,,,,,
0,twin,Vibrio bacteria research studies,Life Sciences,W2624619100,2017,Microbial Suicide,49,1,1,0.69097339,16,0.7713,7.0,9.48,0.188,1.0,1.0,0.812,0.729,14,181.0,11.53,16,False,0.0,0.0,0,0,,False,,,,,,,,,,,,
1,case,Semantic Web and Ontologies,Physical Sciences,W2852434548,2018,OpenIE-based approach for Knowledge Graph construction from text,105,3,2,0.98043738,141,8.5203,5.0,8.53,0.333,0.773,0.197,0.182,0.167,9,160.5,10.11,141,False,-0.092,-0.18,4,35,,False,,8,0.207,66,-3.0,0.126,2.432,55,11,0.585,-0.469,0.236
1,twin,Semantic Web and Ontologies,Physical Sciences,W2790837578,2018,Using Ontologies for Business Capability modelling: Describing What Services and Processes Achieve,42,3,4,0.81455034,6,0.9263,11,15.78,0.098,0.951,0.927,0.585,0.537,8,300,15.38,6,False,-0.333,-0.333,0,1,,False,,8,0.207,66,3,-0.109,4.545,91,0,0.178,-0.721,0.352
2,case,Congenital heart defects research,Life Sciences,W2149161770,2010,Primary contribution to zebrafish heart regeneration by gata4+ cardiomyocytes,36,10,8,0.99864711,1076,31.4181,5.0,5.69,0.361,0.417,0.333,0.278,0.278,3,449.0,7.67,1075,False,-0.622,-0.677,55,7,0.0,False,,,,,,,,,,,,
2,twin,Congenital heart defects research,Life Sciences,W2030763722,2010,Detecting 22q11.2 Deletions by Use of Multiplex Ligation-Dependent Probe Amplification on DNA from Neonatal Dried Blood Spot Samples,20,8,5,0.79273409,40,1.3714,6.5,10.8,0.3,0.35,0.25,0.1,0.1,2,97.5,2.69,40,False,0.1,0.158,1,4,,False,,,,,,,,,,,,
3,case,Smoking Behavior and Cessation,Health Sciences,W2806550153,2018,"Tobacco Product Use Among Middle and High School Students — United States, 2011–2017",5,6,0,0.9987801,396,33.9293,4,2.8,0.4,0.4,0.4,0.4,0.0,2,180,11.23,385,False,0.501,0.481,29,15,0.0,False,,6,0.314,121.0,-2,0.086,1.488,1,0,0.0,0.0,0.0
3,twin,Smoking Behavior and Cessation,Health Sciences,W2803000566,2018,Decline of adolescent smoking in Ireland 1995–2015: trend analysis and associated factors,22,4,1,0.8040071,18,1.3876,12.0,12.45,0.25,0.35,0.35,0.3,0.3,4,124.5,3.07,16,False,0.375,0.333,0,1,0.036,False,,6,0.314,121.0,6.0,-0.064,1.029,15,6,0.0,-0.49,0.2
4,case,Lignin and Wood Chemistry,Physical Sciences,W2318832362,2011,Characterization of Lignin Structures and Lignin–Carbohydrate Complex (LCC) Linkages by Quantitative 13C and 2D HSQC NMR Spectroscopy,60,4,2,0.98551798,640,8.9443,7.0,11.5,0.25,0.183,0.117,0.117,0.117,3,169.0,4.17,624,False,-0.087,-0.682,11,12,,False,,7.0,0.278,103.0,0.0,-0.028,1.641,6,0,0.728,0.061,0.0
4,twin,Lignin and Wood Chemistry,Physical Sciences,W2162382108,2011,"Lignin characteristics of bast fiber and core in kenaf, bark and wood of paper mulberry and mulberry",46,4,4,0.14183183,22,0.0,24.0,24.84,0.0,0.318,0.318,0.273,0.25,5,75.0,2.14,22,False,0.182,-0.5,0,0,,True,37499,7.0,0.278,103.0,17.0,-0.278,0.728,28,0,0.433,-1.046,0.286
