pair,role,topic,domain,id,year,title,n_refs,n_authors,n_institutions,pct,cited_by_count,fwci,ref_age_median,ref_age_mean,ref_share_le3,ref_cross_topic,ref_cross_subfield,ref_cross_field,ref_cross_domain,ref_n_fields,ref_hot_median,ref_fwci_median,n_citers,citers_capped,cd_nok,cd5_nok,s2_influential,s2_method_cites,s2_ref_method_share,has_text,text_chars
0,case,Airway Management and Intubation Techniques,Health Sciences,W2769002019,2017,"Cuffed vs. uncuffed tracheal tubes in children: a randomised controlled trial comparing leak, tidal volume and complications",15,9,5,0.9981295,169,32.7957,8,10.53,0.0,0.333,0.333,0.0,0.0,1,92,3.43,169,False,0.432,0.597,4,2,,False,
0,twin,Airway Management and Intubation Techniques,Health Sciences,W2625640744,2017,Altitude-Related Change in Endotracheal Tube Cuff Pressures in Helicopter EMS,18,3,2,0.59151079,10,0.2827,13.5,17.22,0.0,0.667,0.667,0.0,0.0,1,58.5,2.14,9,False,-0.333,0.0,1,0,0.0,False,
1,case,Metal-Catalyzed Oxygenation Mechanisms,Physical Sciences,W2131027449,2014,Status of Reactive Non-Heme Metal–Oxygen Intermediates in Chemical and Enzymatic Reactions,278,4,2,0.9961714,480,18.7455,7.0,7.6,0.299,0.273,0.266,0.223,0.137,9,125.5,5.2,480,False,-0.812,-0.898,1,2,,False,
1,twin,Metal-Catalyzed Oxygenation Mechanisms,Physical Sciences,W1575610855,2014,"Mid‐ and Far‐Infrared Marker Bands of the Metal Coordination Sites of the Histidine Side Chains in the Protein Cu,Zn‐Superoxide Dismutase",58,8,7,0.50569046,11,0.1311,14.0,17.12,0.052,0.741,0.741,0.586,0.414,7,56.5,1.88,11,False,0.455,-1.0,0,0,,False,
2,case,Ion Channels and Receptors,Life Sciences,W1978300668,2011,Local Ca2+ Entry Via Orai1 Regulates Plasma Membrane Recruitment of TRPC1 and Controls Cytosolic Ca2+ Signals Required for Specific Cell Functions,67,5,1,0.99453054,249,10.2942,5,5.51,0.269,0.194,0.194,0.194,0.0,2,234,7.32,248,False,-0.839,-0.877,14,1,0.058,True,74465
2,twin,Ion Channels and Receptors,Life Sciences,W2080748125,2011,Association of Cold Receptor TRPM8 Gene Polymorphism with Blood Lipid Indices and Anthropometric Parameters in Shorians,12,8,3,0.44097539,6,0.1355,5.0,5.25,0.417,0.833,0.833,0.833,0.583,3,126.0,7.03,6,False,0.0,-0.333,0,0,,False,
3,case,Cannabis and Cannabinoid Research,Health Sciences,W2943967654,2019,Randomized blinded controlled clinical trial to assess the effect of oral cannabidiol administration in addition to conventional antiepileptic treatment on seizure frequency in dogs with intractable idiopathic epilepsy,41,5,1,0.9938921,172,13.4255,7,10.69,0.286,0.457,0.457,0.2,0.171,3,239,10.47,172,False,0.07,0.069,7,7,,False,
3,twin,Cannabis and Cannabinoid Research,Health Sciences,W2973428675,2019,"Cannabis Legalization and Driving: Exploring Young Ontarians’ Knowledge, Perceptions and Attitudes",36,1,0,0.55614657,1,0.16,5.5,11.22,0.333,0.5,0.5,0.389,0.361,9,115.0,5.57,1,False,-1.0,-1.0,,,,False,
4,case,Advanced MIMO Systems Optimization,Physical Sciences,W2095690595,2010,Coordinated linear beamforming in downlink multi-cell wireless networks,36,3,3,0.99669811,192,23.9896,4,4.82,0.394,0.515,0.303,0.273,0.03,4,315,24.21,192,False,-0.771,-0.767,8,31,,False,
4,twin,Advanced MIMO Systems Optimization,Physical Sciences,W178630581,2010,Interference Alignment at Intermediate SNR with Perfect or Noisy CSI,34,1,0,0.59210839,2,0.2897,2.0,3.44,0.735,0.294,0.088,0.059,0.0,2,316.0,27.08,2,False,1.0,1.0,,,,False,
